id;name
aaid_h;ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 31-го РАУНДА
aaid_i;НОМЕР ИНДИВИДА В 31-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ
aid_h;ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА
aid_i;НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ
bbid_h;ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 32-го РАУНДА
bbid_i;НОМЕР ИНДИВИДА В 32-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ
bid_h;ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА
bid_i;НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ
cc_adult;Есть взрослый вопросник 33 волны?
cc_age;Возраст респондента
cc_child;Есть детский вопросник 33 волны?
cc_diplom;ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА)
cc_educ;ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет
cc_int_y;Год опроса
cc_inwgt;Пост-стратификационный вес индивида по Росстату на 01.01.2025
cc_marst;СЕМЕЙНОЕ ПОЛОЖЕНИЕ - 33 ВОЛНА
cc_occup08;ПРОФЕССИОНАЛЬНАЯ ГРУППА - 33 ВОЛНА - по коду ccj2cod08
cc_origsm;АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? 33-Я ВОЛНА
cch11;Номер взрослого члена семьи, который отвечал на вопросы детского вопросника
cch3;НОМЕР СЕМЬИ
cch4;Номер члена семьи
cch4.1;Респондент ранее участвовал(а) в исследовании?
cch4.1_y;Год, в котором респондент последний раз участвовал в исследовании
cch5;Пол респондента
cch6;Год рождения респондента 33 ВОЛНА (= ccj69.9c)
cch7.1;Дата проведения интервью: число
cch7.2;Дата проведения интервью: месяц
cch8a;Интервью продолжалось: часов и минут (часов)
cch8b;Интервью продолжалось: часов и минут (минут)
cci1;Вы родились в другом населенном пункте или в том, где живете сейчас?
cci2;В какой республике бывшего СССР Вы родились?
cci3;Вы родились в городе, поселке городского типа или в селе, деревне, кишлаке, ауле?
cci3.1;Вы жили в другом населенном пункте - не в том, где Вы родились, более чем 6 месяцевподряд после того, как Вам исполнилось 14 лет, включая учебу, службу в армии и прочее?
cci4;Кем Вы себя считаете по национальности?
cci7;С какого года Вы живете в данном населенном пункте?
cci8;С какого года Вы постоянно живете в Российской Федерации?
ccid_h;ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 33-го РАУНДА
ccid_i;НОМЕР ИНДИВИДА В 33-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ
ccj1;Ваше основное занятие в настоящее время?
ccj1.1.1;Насколько Вы удовлетворены или не удовлетворены Вашей работой в целом?
ccj1.1.2;Насколько Вы удовлетворены или не удовлетворены условиями Вашего труда?
ccj1.1.3;Насколько Вы удовлетворены или не удовлетворены оплатой Вашего труда?
ccj1.1.4;Насколько Вы удовлетворены или не удовлетворены возможностями для Вашегопрофессионального роста?
ccj10;Сколько денег в течение последних 30 дней Вы получили по основному месту работы послевычета налогов и отчислений? Если все или часть денег Вы получили в иностранной валюте,переведите все в рубли и назовите общую сумму
ccj10.2;Если Вы получали премию по основному месту работы в течение последних 30 дней, тосколько рублей Вы получили?
ccj10.3;Как Вы думаете, все ли эти деньги были проведены официально?
ccj11;На этой работе Вы работаете на предприятии, в организации? Мы имеем в виду любуюорганизацию, в которой работает более одного человека, независимо от того, частная онаили государственная
ccj11.1;Вы оформлены на этой работе официально, то есть по трудовой книжке, трудовомусоглашению, контракту?
ccj11.2;Почему Вы не оформлены на этой работе официально?
ccj123;Приходилось ли Вам в течение последних 12 месяцев пользоваться Интернетом?
ccj125.1;Вы пользовались Интернетом в течение последних 12 месяцев для учебы?
ccj125.10;Вы пользовались Интернетом в течение последних 12 месяцев для посещения сайтовсоциальных сетей?
ccj125.2;Вы пользовались Интернетом в течение последних 12 месяцев для работы?
ccj125.3;Вы пользовались Интернетом в течение последних 12 месяцев для развлечений?
ccj125.4;Вы пользовались Интернетом в течение последних 12 месяцев для общения с другимилюдьми?
ccj125.7;Вы пользовались Интернетом в течение последних 12 месяцев для получения справочныхматериалов?
ccj125.9;Вы пользовались Интернетом в течение последних 12 месяцев для чего-то еще?
ccj13;Сколько человек работает на Вашем предприятии? Если не знаете точно, скажите примерно
ccj13.2;За последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятиипосле вычета налогов - независимо от того, платят Вам ее вовремя или нет?
"ccj131.1;Посещаете ли Вы религиозные службы, собрания или другие религиозные мероприятия? Если
да, то как часто?"
"ccj136;Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 7
дней?"
ccj14;В настоящее время Ваше предприятие осталось должно Вам какие-то деньги, которые поразным причинам не выплатило вовремя?
ccj15;Сколько всего денег Вам не доплатили?
ccj16;За сколько месяцев предприятие не доплатило Вам эти деньги?
"ccj161.3m;Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой
стаж, не считая времени учебы на дневном отделении ВУЗа или техникума? (месяцев)"
ccj161.3y;Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовойстаж, не считая времени учебы на дневном отделении ВУЗа или техникума? (лет)
ccj188;Вы проходили срочную службу в армии?
ccj189a;С какого года Вы проходили срочную службу в армии?
ccj189b;По какой год Вы проходили срочную службу в армии?
ccj206;Считаете ли Вы, что большинству людей можно доверять или что в отношениях с людьмивсегда надо быть осторожным?
ccj21.3;Является ли производство, на котором Вы работаете, вредным или опасным, т.е. дающим Вамправо на досрочное назначение трудовой пенсии, на дополнительные выплаты или льготы?
ccj21a;В течение последних 12 месяцев Вы были в оплачиваемом отпуске?
ccj21b;Сколько всего календарных дней продолжался или продолжается этот отпуск?
ccj22;Представьте себе не очень приятную картину: предприятие, где Вы работаете, по каким-топричинам закроется, и все работники будут уволены. Насколько Вы уверены в том, чтосможете найти работу не хуже той, на которой работаете сейчас?
ccj23;Является государство владельцем или совладельцем Вашего предприятия, организации?
ccj24;Являются владельцами или совладельцами Вашего предприятия, организации иностранныефирмы или иностранные частные лица?
ccj25;Являются владельцами или совладельцами Вашего предприятия, организации какие-тороссийские частные лица, коллектив предприятия или российские частные фирмы?
ccj26;А Вы лично являетесь владельцем или совладельцем предприятия, на котором Вы работаете?
ccj260;Скажите, пожалуйста, Вы владеете каким-либо иностранным языком, помимо языков бывшихреспублик СССР?
ccj262;В какой степени Вы владеете иностранным языком?
ccj29;Как Вы считаете, на этой работе Вы занимаетесь предпринимательской деятельностью?
ccj29.1;Вы сменили место работы или профессию по сравнению с ноябрем 2023 года, или всеосталось по-прежнему?
ccj29.2.1;После ноября 2023 года Вы продвинулись по службе, получили более высокую должность?
ccj29.2.2;После ноября 2023 года Вы перешли работать в другое структурное подразделение - отдел,цех?
