Регион,ФО,x1,x2,x3,x4,x5,y
Белгородская область,ЦФО,56798,65.4,4.4,3.466,36.980145409153,6.1
Брянская область,ЦФО,48502,69.8,9.1,3.862,33.708852881589344,6.5
Владимирская область,ЦФО,46302,77.59,7.4,2.315,33.49441729022078,6.2
Воронежская область,ЦФО,53449,68.5,5.4,3.972,35.58474720636094,6.9
Ивановская область,ЦФО,47881,82.2,8.0,2.686,32.486338189629265,6.9
Калужская область,ЦФО,52675,74.7,5.8,3.345,32.85844472300326,7.5
Костромская область,ЦФО,51119,74.8,7.9,3.507,34.622689787366824,7.4
Курская область,ЦФО,50630,69.0,6.3,2.131,32.07227588939809,6.9
Липецкая область,ЦФО,53842,63.0,5.9,2.634,37.09216408988581,6.7
Московская область,ЦФО,77409,77.9,4.9,2.748,33.95657685652541,8.3
Орловская область,ЦФО,54805,66.5,6.9,4.351,33.03683721933426,6.5
Рязанская область,ЦФО,47477,71.5,9.3,3.01,37.0679875875138,5.9
Смоленская область,ЦФО,52435,72.8,8.1,3.719,33.9066102280258,5.7
Тамбовская область,ЦФО,46416,60.7,7.9,2.42,35.531993108380334,6.2
Тверская область,ЦФО,49121,76.3,6.9,4.245,37.482382447458114,6.8
Тульская область,ЦФО,51931,73.0,6.4,2.233,32.92893078005012,6.0
Ярославская область,ЦФО,54027,80.7,6.5,3.4,33.16904117528432,7.2
г. Москва,ЦФО,143171,100.0,4.0,1.317,22.223268522560726,9.1
Республика Карелия,СЗФО,62566,80.09,8.4,6.17,34.60863281626361,7.7
Республика Коми,СЗФО,63437,78.0,10.1,5.635,33.564652308036685,8.3
Ненецкий автономный округ,СЗФО,143512,74.9,6.4,7.108,28.007922493199064,11.4
Архангельская область (кроме автономного округа),СЗФО,64019,78.4,7.8,4.649,34.78162122913518,7.2
Вологодская область,СЗФО,51811,72.8,7.8,3.575,34.193896022041095,7.4
Калининградская область,СЗФО,53580,76.4,8.8,2.872,36.604447267122595,7.3
Ленинградская область,СЗФО,54808,69.8,5.2,3.34,31.32636458055654,5.8
Мурманская область,СЗФО,86687,93.0,5.9,4.446,29.112230814461366,7.8
Новгородская область,СЗФО,46148,73.4,8.7,2.54,37.624488500070555,6.6
Псковская область,СЗФО,46858,70.8,9.9,3.459,38.848367219050274,6.8
г. Санкт-Петербург,СЗФО,87888,100.0,3.4,1.657,28.08809674005762,8.4
Республика Адыгея,ЮФО,52224,48.5,8.6,4.284,29.058256828516708,8.7
Республика Калмыкия,ЮФО,35438,47.1,13.2,5.097,26.93102829723306,8.0
Республика Крым,ЮФО,38765,50.1,11.2,2.813,21.896576105441508,8.3
Краснодарский край,ЮФО,64985,57.4,7.0,3.083,31.867085866751747,8.8
Астраханская область,ЮФО,41620,63.9,10.6,2.696,28.035696930000633,9.7
Волгоградская область,ЮФО,41803,77.8,7.5,2.611,27.0042883330882,6.6
Ростовская область,ЮФО,55854,67.9,7.7,3.633,29.051539215461162,7.7
г. Севастополь,ЮФО,44998,92.6,8.4,3.399,24.302402642297537,6.6
Республика Дагестан,СКФО,45175,45.2,11.7,16.169,22.06139777722561,13.3
Республика Ингушетия,СКФО,27311,55.0,25.3,26.719,15.856693564531488,15.0
